Artist,Year,Popularity
Adrienne Pauly,2006,26.0
Adrinaline,2018,0.0
Adro,2019,35.0
Adryx-G,2019,34.0
Advaita,2015,16.5
Adventure Club,2013,1.0
Adventure Club,2014,0.0
Adventure Club,2016,0.0
Ady Suleiman,2018,40.0
Ady Suleiman,2019,47.0
Aer,2012,58.0
Aeris Roves,2018,49.0
Aeris Roves,2019,47.0
Aero Chord,2015,0.0
Aero Chord,2017,0.0
Aerophon,2012,0.0
Aerosmith,1973,69.75
Aerosmith,1974,50.0
Aerosmith,1975,68.4
Aerosmith,1976,60.0
Aerosmith,1980,51.0
Aerosmith,1987,70.0
Aerosmith,1991,37.0
Aerosmith,1993,6.0
Aerosmith,1998,74.33333333333333
Aerosmith,2001,4.75
Aerosmith,2005,25.0
Aerosmith,2011,31.5
Aerreo,2018,44.0
Aesthetic Perfection,2008,40.5
Aexcit,2019,45.0
Afluen,2018,47.0
Afro B,2019,66.0
Afro Bros,2018,41.0
Afro Bros,2019,31.0
Afrodisiaco,2015,0.0
Afrodisiaco,2019,25.0
Afrojack,2011,16.25
Afrojack,2012,42.5
Afrojack,2013,0.5
Afrojack,2014,14.041666666666666
Afrojack,2017,3.0
Afrojack,2019,54.0
After 10,2018,27.0
After 10,2019,39.0
After 7,1989,45.5
After 7,1997,35.8
Afterlight,2019,18.0
Afu-Ra,2000,44.0
Agar Agar,2016,56.5
Agar Agar,2017,56.0
Agar Agar,2018,45.0
Agat,2019,2.0
Age of Consent,2012,38.0
Age of Consent,2013,39.0
Agents Of Time,2018,14.0
Agnes Nunes,2019,64.0
Agnes Obel,2016,43.8
Agonoize,2006,0.0
Agonoize,2007,0.0
Agonoize,2008,0.0
Agonoize,2012,0.0
Agus Padilla,2019,55.0
Agus Zack,2019,22.0
Agusa,2017,10.0
Ahzee,2014,42.0
Ailee,2019,57.0
Aimee Mann,1999,56.0
Air Supply,1980,65.25
Air Supply,2003,64.0
Air Traffic Controller,2012,39.0
Airbourne,2019,45.5
Aitana,2018,62.0
Aitana,2019,78.25
Aitch,2019,63.333333333333336
Aitor Blond,2019,34.0
Aivarask,2018,39.0
Aivarask,2019,56.0
Aiwass,2019,40.0
Aiyo,2019,51.0
Ajebutter22,2018,54.0
Akane,2019,27.0
Akane Hatanaka,2019,1.0
Akapellah,2016,45.0
Akcent,2006,40.0
Akim,2019,55.0
Akira Terao,1981,32.0
Akon,2006,54.75
Akon,2008,66.0
Akon,2010,53.0
Akon,2013,30.4
Akon,2019,30.0
Akwid,2005,58.0
Akwid,2007,24.0
Akwid,2010,43.5
Akwid,2013,38.0
Akwid,2015,32.0
Akwid,2019,45.0
Al B. Sure!,1988,41.8
Al B. Sure!,2005,27.5
Al Stewart,1978,46.0
Alabama Shakes,2015,9.0
Alaina Castillo,2019,25.0
Alamid,1994,42.0
Alamid,2012,51.0
Alan Silvestri,2013,45.0
Alan Walker,2015,54.2
Alan Walker,2016,24.77777777777778
Alan Walker,2017,48.69230769230769
Alan Walker,2018,72.125
Alan Walker,2019,79.41666666666667
Alan Zachary,2020,33.0
Alanis Morissette,1995,70.0
Alanis Morissette,2005,47.0
Alaíde,2019,17.0
Alba Reche,2019,50.0
Alban Chela,2020,38.0
Albert Hammond,1972,62.0
"Albert Hammond, Jr.",2008,33.0
Albert King,2017,1.0
Alberto Ciccarini,2019,34.0
Alberto Dimeo,2017,5.0
Alberto Urso,2019,45.0
Albin Myers,2015,0.0
Albin Myers,2019,41.0
Alborn,2019,33.0
Aldair Silva,2015,0.0
Aldo Nova,1982,51.0
Aldous Harding,2019,39.0
Ale Aguirre,2019,37.0
Ale Mendoza,2013,0.0
Alec Benjamin,2018,80.0
Alec Benjamin,2019,78.66666666666667
Alec Benjamin,2020,62.0
Alejandra Guzman,1990,48.0
Alejandra Guzman,1991,66.0
Alejandra Guzman,1993,61.0
Alejandro Fernandez,2003,9.0
Alejandro Fernandez,2011,63.0
Alejandro Fernandez,2017,70.0
Alejandro Gonzalez,2019,56.5
Alejandro Sanz,1995,22.0
Alejandro Sanz,1997,74.0
Alejandro Sanz,2004,58.0
Alejandro Sanz,2019,66.0
Alejo Park,2018,0.0
Aleks Syntek,2002,45.0
Aleks Syntek,2009,42.0
Aleman,2015,52.0
Aleman,2017,35.5
Aleman,2019,58.0
Alenn,2019,31.0
Alessandra Amoroso,2018,57.0
Alessi Brothers,1998,47.0
Alessia Cara,2015,50.0
Alessia Cara,2016,40.333333333333336
Alessia Cara,2018,50.5
Alessia Cara,2019,77.0
Alesso,2012,49.5
Alesso,2013,48.0
Alesso,2014,14.5
Alesso,2015,31.181818181818183
Alesso,2016,49.0
Alesso,2017,5.0
Alesso,2018,77.0
Alesso,2019,65.75
Alex & Sierra,2014,79.0
Alex Adair,2015,38.0
Alex Cuba,2019,50.0
Alex Da Kid,2017,0.0
Alex Eugenio,2018,27.0
Alex Ferreira,2017,38.0
Alex Fosse,2019,43.0
Alex Gaudino,2007,0.0
Alex Gaudino,2019,19.0
Alex Guesta,2014,6.0
Alex Herrera,2020,15.0
Alex Isley,2018,25.0
Alex Jacke,2014,0.0
Alex Kenji,2012,33.0
Alex Kennon,2017,2.0
Alex Larke,2017,29.0
Alex Martura,2018,47.0
Alex Martura,2019,53.0
Alex Mattson,2019,44.0
Alex McArtor,2019,37.5
Alex Parker,2018,47.0
Alex Parker,2019,48.0
Alex Rose,2017,32.5
Alex Rose,2018,47.0
Alex Rose,2019,57.875
Alex Schulz,2019,54.0
Alex Sensation,2017,38.5
Alex Sensation,2019,65.0
Alex Soto,2019,36.0
Alex Turner,2011,63.0
Alex Ubago,2019,54.0
Alex Vargas,2015,27.0
Alex Zind,2019,52.0
Alex Zurdo,2014,47.5
Alex Zurdo,2016,53.0
Alex Zurdo,2017,49.0
Alex Zurdo,2018,53.0
AlexEps,2020,23.0
Alexander 23,2019,32.0
Alexander Lewis,2017,0.0
Alexander Lewis,2018,39.0
Alexander Lewis,2019,52.0
Alexander O'Neal,1987,53.0
Alexander O'Neal,1988,26.0
Alexander O'Neal,2012,1.0
Alexander Popov,2019,27.0
Alexey Shelygin,2003,0.0
Alexio,2015,61.0
Alexis Chaires,2019,39.0
Alexis y Fido,2005,49.0
Alexis y Fido,2006,0.0
Alexis y Fido,2007,62.5
Alexis y Fido,2009,46.666666666666664
Alexis y Fido,2011,59.0
Alexis y Fido,2012,56.0
Alexis y Fido,2014,34.333333333333336
Alexis y Fido,2018,61.0
Alexx Mack,2017,17.0
Alfa Mist,2015,0.0
Alfie Connor,2015,30.0
Alfons,2019,41.333333333333336
Alfonzo Hunter,1996,37.0
Alfred Beck,2019,41.0
Algebra Blessett,2008,0.0
AlgoRythmik,2011,43.0
Ali Aka Mind,2014,42.0
Ali B,2019,52.0
Ali Bumaye,2016,36.0
Ali Gatie,2019,73.25
Ali Masare,2019,39.0
Ali Payami,2009,0.0
Alias,1990,51.0
Alice Cooper,1971,55.0
Alice Cooper,1972,65.0
Alice Cooper,1974,29.666666666666668
Alice Cooper,1975,40.666666666666664
Alice Cooper,1976,38.0
Alice Cooper,1978,26.0
Alice Cooper,1986,48.0
Alice Cooper,1989,65.6
Alice Cooper,2001,40.0
Alice Cooper,2007,57.0
Alice Cooper,2019,13.0
Alice DJ,1999,45.0
Alice DJ,2000,49.0
Alice Deejay,1999,3.0
Alice Francis,2014,40.0
Alice In Chains,1990,60.0
Alice Jemima,2017,31.0
Alice Russell,2008,8.0
Alice Smith,2006,21.0
Alice Smith,2013,0.0
Alicia Keys,2001,21.0
Alicia Keys,2003,69.5
Alicia Keys,2007,68.0
Alicia Keys,2012,70.0
Alicia Keys,2016,40.0
Alicia Keys,2019,66.66666666666667
Alicia Keys,2020,73.0
Alicia Madison,2018,41.0
Alien Ant Farm,2001,41.0
Alien Ant Farm,2003,0.0
Alien Family,2016,0.0
Alina Amuri,2018,8.0
Alina Baraz,2015,44.0
Alina Baraz,2017,44.333333333333336
Alina Baraz,2019,64.0
Alisha,2007,32.0
Alison Crockett,2010,36.0
Alison Darwin,2019,23.0
Alison Krauss,1995,0.0
Alison Wonderland,2015,55.333333333333336
Alison Wonderland,2019,57.0
Alive City,2019,54.0
Alizzmatic,2018,19.333333333333332
Alkaline,2015,0.0
Alkilados,2014,0.0
Alkilados,2015,4.0
Alkilados,2019,56.0
All Fires,2019,38.0
All Good Things,2013,38.0
All Harlem Music,2019,41.0
All Star Brasil,2019,37.0
All That Remains,2012,0.0
All Them Witches,2012,46.0
All Time Low,2008,8.222222222222221
All Time Low,2009,0.0
All Time Low,2011,0.0
All-4-One,1994,36.5
Alle Farben,2019,59.2
Allegra,2019,40.0
Allen Stone,2012,0.0
Allie X,2019,59.0
Allstar Weekend,2011,45.0
Ally Brooke,2019,64.0
Alma Madre,2019,1.0
Alma Negra,2019,10.0
Almanij,2019,22.0
Almero,2020,24.0
Almighty,2017,40.0
Almighty,2019,65.0
Aloe Blacc,2010,36.0
Aloe Blacc,2013,60.0
Aloe Blacc,2014,36.0
Alok,2016,63.5
Alok,2018,57.0
Alok,2019,66.06666666666666
Alpharock,2015,0.0
Alphaville,1984,59.666666666666664
Alphaville,1991,57.0
Alrahim Wright III,2019,3.0
Alsogood,2019,21.0
Altafulla,2014,0.0
Altamira,2019,54.0
Alter Bridge,2019,24.5
Altoparlante,2017,42.0
AlunaGeorge,2014,51.0
AlunaGeorge,2015,60.0
AlunaGeorge,2016,31.0
Alvaro,2015,0.0
Alvaro,2017,47.0
Alvaro Rod,2019,55.0
Alvaro Soler,2015,0.0
Alvaro Soler,2016,66.0
Alveole,2019,17.0
Alvin Marquis,2019,21.0
Alvita,2015,0.0
Alvvays,2014,62.0
Alx Veliz,2015,16.0
Aly & AJ,2007,61.0
Alyssa Reid,2011,36.0
AmPm,2019,45.0
AmaLee,2015,13.0
Amanaz,2017,37.0
Amandla Stenberg,2017,43.0
Amarok,2017,0.0
Amber,1996,52.0
Amber Run,2015,62.0
Amber Ryann,2020,29.0
Ambrosia,1978,58.0
Ambrosia,1980,63.0
Ameba,2019,49.5
Amel Larrieux,1999,13.0
Amel Larrieux,2000,34.0
Amel Larrieux,2004,24.0
Amelie Lens,2017,52.0
Amenazzy,2017,68.0
Amenazzy,2018,73.0
Amenazzy,2019,64.5
America,1972,56.857142857142854
America,1974,57.0
America,1975,66.0
American Authors,2014,59.8
American Sin,2019,36.5
Amerie,2002,39.0
Amerie,2005,59.0
Amigos Raros,2018,43.0
Aminé,2016,4.0
Aminé,2017,38.5
Aminé,2018,78.0
AmirSaysNothing,2020,38.0
Amorf,2019,15.666666666666666
Amos Lee,2005,53.0
Amos Lee,2016,36.0
Amparanoia,2019,40.0
Amplify Worship,2018,33.0
Amr Diab,2019,47.0
Amrit Maan,2017,24.0
Amrit Maan,2018,53.0
Amrit Maan,2019,50.0
Amtrac,2019,46.0
Amtrac,2020,58.0
Amy Winehouse,2003,28.5
Amy Winehouse,2006,41.8
Amy Winehouse,2007,65.0
Amy Winehouse,2011,60.0
Amy Winehouse,2015,34.0
Amyntas,2020,16.0
An21,2013,0.0
Ana Guerra,2019,57.0
Ana Tijoux,2012,0.0
Ana Torroja,2006,24.0
Ana Torroja,2019,48.0
Anaesthesia,2020,20.0
Anakena,2019,41.0
Analogik,2009,4.0
And One,1991,0.0
And One,2006,0.0
Anddy Caicedo,2019,45.0
Andeeno Damassy,2015,0.0
Anderson .Paak,2014,41.0
Anderson .Paak,2015,44.0
Anderson .Paak,2016,55.07142857142857
Anderson .Paak,2019,42.0
Anderson East,2015,45.0
Anderson East,2019,26.0
Andery Toronto,2017,38.0
Andery Toronto,2018,28.666666666666668
Andery Toronto,2019,25.0
Andra,2017,52.0
Andra Day,2015,47.5
Andra Day,2016,39.0
Andra Day,2017,39.0
Andra Day,2018,45.0
Andrea Bocelli,2019,55.0
Andrea Consoli,2019,42.0
Andrelli,2017,48.0
Andrew Applepie,2019,53.0
Andrew Belize,2018,18.0
Andrew Bird,2008,38.0
Andrew Gialanella,2019,1.0
Andrew Gold,1976,52.0
Andrew Mathers,2014,5.0
Andrew McMahon in the Wilderness,2014,60.0
Andrew McMahon in the Wilderness,2017,53.0
Andrew Rayel,2014,15.0
Andrew Rayel,2016,31.0
Andrew Rayel,2019,45.0
Andrew Ripp,2015,2.0
Andrew Roman,2019,47.0
Andrew Simple,2016,0.0
Andrew Sound,2019,30.0
Andrew W. Boss,2019,25.0
Andreya Triana,2019,23.0
Andrezia,2019,38.0
Andrés Calamaro,2019,48.0
Andrés Cepeda,2019,54.0
Andréza,2018,40.0
Andwell,2019,20.0
Andy Aguilera,2016,36.0
Andy Gibb,1977,57.0
Andy Grammer,2015,42.5
Andy Grammer,2019,9.0
Andy Hart,2014,44.0
Andy Kulter,2018,10.0
Andy Mcgirr,2014,0.0
Andy Mineo,2018,52.0
Andy Mineo,2019,60.0
Andy Rivera,2017,0.0
Aneesh Chengappa,2017,0.0
Anexo Leiruk,2020,18.0
Anfa Rose,2017,51.0
Angel Grant,1998,19.0
Angel Olsen,2016,64.0
Angel Olsen,2019,60.0
Angel Y Khriz,2007,25.0
Angel Y Khriz,2008,65.0
Angel Y Khriz,2009,18.0
Angel Y Khriz,2010,0.0
Angel Y Khriz,2011,4.0
Angelic Upstarts,1983,33.0
Angelika Vee,2017,54.0
Angelique,1996,10.0
Angelo De Augustine,2019,54.0
Angelov,2019,51.0
Angie Stone,1999,42.0
